,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
899,06037241300,50417.0,736.0,2262.0,1252.0,1010.0,955.0,29.0,887.0,4.0,11.0
900,06037241400,49375.0,933.0,3612.0,2430.0,1182.0,1126.0,56.0,1018.0,0.0,24.0
901,06037242000,32857.0,1124.0,4459.0,3135.0,1324.0,1242.0,39.0,1152.0,5.0,30.0
902,06037242100,21992.0,755.0,2497.0,1616.0,881.0,849.0,15.0,820.0,0.0,7.0
903,06037242201,33750.0,1006.0,3696.0,3236.0,460.0,447.0,22.0,404.0,1.0,14.0
904,06037242202,25141.0,723.0,3387.0,2100.0,1287.0,1249.0,26.0,1197.0,4.0,11.0
905,06037242300,31875.0,1318.0,4958.0,3628.0,1330.0,1291.0,69.0,1159.0,13.0,13.0
906,06037242600,16662.0,1381.0,4794.0,3142.0,1652.0,1574.0,29.0,1517.0,6.0,11.0
907,06037242700,41731.0,1426.0,5932.0,4657.0,1275.0,1234.0,58.0,1123.0,3.0,22.0
908,06037243001,66406.0,751.0,3304.0,2717.0,587.0,562.0,34.0,505.0,2.0,9.0
909,06037243002,56809.0,571.0,3527.0,3074.0,453.0,430.0,34.0,340.0,5.0,27.0
910,06037243100,27353.0,1457.0,5692.0,3949.0,1743.0,1697.0,114.0,1522.0,1.0,33.0
911,06037261102,164219.0,1487.0,4072.0,248.0,3824.0,3619.0,3244.0,87.0,1.0,258.0
912,06037261103,202266.0,709.0,1880.0,110.0,1770.0,1657.0,1513.0,39.0,1.0,85.0
913,06037261104,217396.0,633.0,1638.0,123.0,1515.0,1438.0,1249.0,39.0,5.0,128.0
914,06037261200,178750.0,1580.0,4329.0,304.0,4025.0,3770.0,3270.0,55.0,6.0,407.0
915,06037262100,250001.0,1071.0,3195.0,171.0,3024.0,2855.0,2515.0,44.0,1.0,269.0
916,06037262200,173472.0,1672.0,4553.0,288.0,4265.0,3992.0,3355.0,106.0,0.0,481.0
917,06037262301,231188.0,809.0,2778.0,339.0,2439.0,2336.0,1892.0,58.0,5.0,360.0
918,06037262302,200781.0,1324.0,2870.0,182.0,2688.0,2551.0,2323.0,29.0,0.0,171.0
919,06037262303,250001.0,1063.0,3157.0,166.0,2991.0,2844.0,2587.0,49.0,0.0,196.0
920,06037262400,250001.0,1101.0,3242.0,215.0,3027.0,2879.0,2620.0,43.0,4.0,194.0
921,06037262501,246750.0,1335.0,3741.0,228.0,3513.0,3332.0,3120.0,20.0,1.0,165.0
922,06037262601,201094.0,1290.0,3783.0,218.0,3565.0,3360.0,2946.0,27.0,0.0,365.0
923,06037262604,187500.0,2276.0,6116.0,356.0,5760.0,5419.0,4868.0,48.0,4.0,454.0
924,06037262704,126528.0,1535.0,3651.0,291.0,3360.0,3147.0,2850.0,43.0,7.0,207.0
925,06037262706,158625.0,1343.0,3537.0,197.0,3340.0,3144.0,2919.0,17.0,3.0,176.0
926,06037262802,182042.0,1307.0,3907.0,196.0,3711.0,3505.0,3254.0,25.0,7.0,187.0
927,06037264000,196250.0,1257.0,3284.0,144.0,3140.0,2936.0,2743.0,14.0,0.0,168.0
928,06037264102,107228.0,1699.0,3064.0,249.0,2815.0,2625.0,2219.0,46.0,0.0,334.0
